interval;number of names;number of unique names;attribute;
0;0;0;website;
0;0;0;Bitmessage address;
0;0;0;ip;
0;0;0;email;
1;0;0;website;
1;0;0;Bitmessage address;
1;0;0;ip;
1;4;1;email;
2;0;0;website;
2;0;0;Bitmessage address;
2;0;0;ip;
2;12;1;email;
3;0;0;website;
3;0;0;Bitmessage address;
3;0;0;ip;
3;0;0;email;
4;0;0;website;
4;42;1;Bitmessage address;
4;0;0;ip;
4;4;1;email;
5;0;0;website;
5;4;1;Bitmessage address;
5;0;0;ip;
5;0;0;email;
6;0;0;website;
6;0;0;Bitmessage address;
6;0;0;ip;
6;0;0;email;
7;0;0;website;
7;0;0;Bitmessage address;
7;0;0;ip;
7;0;0;email;
8;0;0;website;
8;0;0;Bitmessage address;
8;0;0;ip;
8;0;0;email;
9;0;0;website;
9;0;0;Bitmessage address;
9;0;0;ip;
9;0;0;email;
10;0;0;website;
10;0;0;Bitmessage address;
10;0;0;ip;
10;0;0;email;
11;0;0;website;
11;6;1;Bitmessage address;
11;0;0;ip;
11;0;0;email;
12;0;0;website;
12;2;1;Bitmessage address;
12;0;0;ip;
12;0;0;email;
13;0;0;website;
13;50;2;Bitmessage address;
13;0;0;ip;
13;0;0;email;
14;0;0;website;
14;0;0;Bitmessage address;
14;0;0;ip;
14;0;0;email;
15;0;0;website;
15;2;1;Bitmessage address;
15;0;0;ip;
15;0;0;email;
16;0;0;website;
16;0;0;Bitmessage address;
16;0;0;ip;
16;0;0;email;
17;0;0;website;
17;8;1;Bitmessage address;
17;0;0;ip;
17;0;0;email;
18;0;0;website;
18;0;0;Bitmessage address;
18;0;0;ip;
18;2;1;email;
19;0;0;website;
19;2;1;Bitmessage address;
19;0;0;ip;
19;6;1;email;
20;0;0;website;
20;0;0;Bitmessage address;
20;0;0;ip;
20;0;0;email;
21;0;0;website;
21;2035;2;Bitmessage address;
21;0;0;ip;
21;0;0;email;
22;0;0;website;
22;26;1;Bitmessage address;
22;0;0;ip;
22;4;1;email;
23;0;0;website;
23;36;1;Bitmessage address;
23;0;0;ip;
23;0;0;email;
24;0;0;website;
24;0;0;Bitmessage address;
24;0;0;ip;
24;14;1;email;
25;0;0;website;
25;1260;1;Bitmessage address;
25;0;0;ip;
25;20;1;email;
26;0;0;website;
26;0;0;Bitmessage address;
26;0;0;ip;
26;0;0;email;
27;0;0;website;
27;0;0;Bitmessage address;
27;0;0;ip;
27;0;0;email;
28;0;0;website;
28;2;1;Bitmessage address;
28;0;0;ip;
28;0;0;email;
29;0;0;website;
29;2;1;Bitmessage address;
29;0;0;ip;
29;0;0;email;
30;0;0;website;
30;0;0;Bitmessage address;
30;0;0;ip;
30;0;0;email;
31;0;0;website;
31;0;0;Bitmessage address;
31;0;0;ip;
31;0;0;email;
32;0;0;website;
32;2;1;Bitmessage address;
32;0;0;ip;
32;0;0;email;
33;0;0;website;
33;3222;2;Bitmessage address;
33;0;0;ip;
33;60;1;email;
34;0;0;website;
34;30;2;Bitmessage address;
34;0;0;ip;
34;76;1;email;
35;0;0;website;
35;6;1;Bitmessage address;
35;0;0;ip;
35;0;0;email;
36;0;0;website;
36;0;0;Bitmessage address;
36;0;0;ip;
36;0;0;email;
37;0;0;website;
37;0;0;Bitmessage address;
37;0;0;ip;
37;0;0;email;
38;0;0;website;
38;4;2;Bitmessage address;
38;0;0;ip;
38;0;0;email;
39;0;0;website;
39;0;0;Bitmessage address;
39;0;0;ip;
39;2;1;email;
40;0;0;website;
40;1;1;Bitmessage address;
40;0;0;ip;
40;0;0;email;
41;0;0;website;
41;2;1;Bitmessage address;
41;0;0;ip;
41;0;0;email;
42;0;0;website;
42;0;0;Bitmessage address;
42;0;0;ip;
42;0;0;email;
43;0;0;website;
43;14;1;Bitmessage address;
43;0;0;ip;
43;6;1;email;
44;0;0;website;
44;0;0;Bitmessage address;
44;0;0;ip;
44;0;0;email;
45;0;0;website;
45;16;1;Bitmessage address;
45;0;0;ip;
45;0;0;email;
46;0;0;website;
46;2;1;Bitmessage address;
46;0;0;ip;
46;0;0;email;
47;0;0;website;
47;0;0;Bitmessage address;
47;0;0;ip;
47;2;1;email;
48;0;0;website;
48;28;1;Bitmessage address;
48;4;1;ip;
48;20;1;email;
49;0;0;website;
49;0;0;Bitmessage address;
49;0;0;ip;
49;0;0;email;
50;0;0;website;
50;0;0;Bitmessage address;
50;0;0;ip;
50;0;0;email;
51;0;0;website;
51;0;0;Bitmessage address;
51;0;0;ip;
51;0;0;email;
52;0;0;website;
52;4;1;Bitmessage address;
52;0;0;ip;
52;0;0;email;
53;0;0;website;
53;18;1;Bitmessage address;
53;0;0;ip;
53;0;0;email;
54;0;0;website;
54;0;0;Bitmessage address;
54;0;0;ip;
54;0;0;email;
55;0;0;website;
55;4;1;Bitmessage address;
55;0;0;ip;
55;22;1;email;
56;0;0;website;
56;12;2;Bitmessage address;
56;0;0;ip;
56;8;1;email;
57;922;1;website;
57;34;1;Bitmessage address;
57;0;0;ip;
57;0;0;email;
58;850;1;website;
58;0;0;Bitmessage address;
58;0;0;ip;
58;0;0;email;
59;0;0;website;
59;0;0;Bitmessage address;
59;0;0;ip;
59;0;0;email
